metric,value
source_system,stonebranch
env,PROD
nodes_total,9
edges_total,10
task_nodes,2
synthetic_nodes,2
low_confidence_edges,0
orphan_nodes,0
orphan_tasks,0
tasks_without_inbound_dependency,1
tasks_without_outbound_dependency,0
tasks_without_trigger,1
condition_nodes,0
conditions_not_parsed,0
object_types.agent,1
object_types.calendar,1
object_types.command,2
object_types.credential,1
object_types.task,2
object_types.trigger,1
object_types.variable,1
relation_types.depends_on_success,1
relation_types.runs_command,2
relation_types.runs_on,2
relation_types.starts,1
relation_types.uses_calendar,2
relation_types.uses_credential,1
relation_types.uses_variable,1
